contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260331P00345000,2026-03-09 14:36:43+00:00,345.0,0.14,0.12,0.13,-0.019999996,-12.499997,25.0,9275,0.9765627343750001,False,REGULAR,USD
SPY260331P00350000,2026-03-09 13:58:00+00:00,350.0,0.15,0.13,0.15,0.010000005,7.1428604,26.0,4044,0.96679720703125,False,REGULAR,USD
SPY260331P00355000,2026-03-06 20:50:00+00:00,355.0,0.15,0.14,0.15,0.0,0.0,168.0,2375,0.9511723632812499,False,REGULAR,USD
SPY260331P00360000,2026-03-06 20:49:50+00:00,360.0,0.16,0.15,0.16,0.0,0.0,323.0,2207,0.937500625,False,REGULAR,USD
SPY260331P00365000,2026-03-06 20:49:26+00:00,365.0,0.17,0.15,0.17,0.0,0.0,166.0,897,0.92187578125,False,REGULAR,USD
SPY260331P00370000,2026-03-06 20:49:39+00:00,370.0,0.18,0.16,0.18,0.0,0.0,304.0,661,0.9082040429687499,False,REGULAR,USD
SPY260331P00375000,2026-03-09 13:34:41+00:00,375.0,0.19,0.17,0.19,0.08,72.72727,5.0,966,0.8945323046874999,False,REGULAR,USD
SPY260331P00380000,2026-03-05 20:03:25+00:00,380.0,0.12,0.19,0.21,0.0,0.0,32.0,477,0.885743330078125,False,REGULAR,USD
SPY260331P00385000,2026-03-05 20:03:36+00:00,385.0,0.22,0.2,0.22,0.09,69.230774,1.0,615,0.8720715917968749,False,REGULAR,USD
SPY260331P00390000,2026-03-05 20:04:24+00:00,390.0,0.24,0.21,0.22,0.099999994,71.428566,4.0,640,0.8554701953125,False,REGULAR,USD
SPY260331P00395000,2026-03-05 19:38:31+00:00,395.0,0.14,0.23,0.24,0.0,0.0,23.0,971,0.8457046679687499,False,REGULAR,USD
SPY260331P00400000,2026-03-09 13:30:04+00:00,400.0,0.28,0.24,0.25,-0.00999999,-3.4482727,13.0,16225,0.831056376953125,False,REGULAR,USD
SPY260331P00405000,2026-03-09 14:36:12+00:00,405.0,0.28,0.26,0.28,0.07000001,33.33334,7.0,1492,0.82226740234375,False,REGULAR,USD
SPY260331P00410000,2026-03-09 14:34:56+00:00,410.0,0.3,0.27,0.28,0.15,100.0,5.0,1494,0.805666005859375,False,REGULAR,USD
SPY260331P00415000,2026-03-05 18:04:13+00:00,415.0,0.16,0.29,0.3,0.0,0.0,3.0,856,0.7939473730468749,False,REGULAR,USD
SPY260331P00420000,2026-03-09 14:37:15+00:00,420.0,0.32,0.3,0.32,-0.030000001,-8.571428,8.0,1372,0.7807639111328125,False,REGULAR,USD
SPY260331P00425000,2026-03-09 13:42:50+00:00,425.0,0.38,0.32,0.34,-0.00999999,-2.5641003,2.0,647,0.7685570019531252,False,REGULAR,USD
SPY260331P00430000,2026-03-09 14:03:33+00:00,430.0,0.36,0.33,0.35,-0.059999973,-14.285707,1.0,603,0.7534204345703125,False,REGULAR,USD
SPY260331P00435000,2026-03-09 14:36:25+00:00,435.0,0.38,0.35,0.37,-0.050000012,-11.627909,5.0,947,0.7412135253906249,False,REGULAR,USD
SPY260331P00440000,2026-03-09 13:40:56+00:00,440.0,0.44,0.38,0.4,0.28,175.0,11.0,836,0.7309597216796875,False,REGULAR,USD
SPY260331P00445000,2026-03-09 14:37:24+00:00,445.0,0.41,0.41,0.42,0.07999998,24.242418,219.0,1703,0.7192410888671875,False,REGULAR,USD
SPY260331P00450000,2026-03-09 14:15:06+00:00,450.0,0.52,0.44,0.45,0.03999999,8.333331,125.0,1496,0.708010732421875,False,REGULAR,USD
SPY260331P00455000,2026-03-06 20:30:50+00:00,455.0,0.41,0.47,0.48,0.0,0.0,40.0,407,0.6962920996093751,False,REGULAR,USD
SPY260331P00460000,2026-03-06 20:48:03+00:00,460.0,0.48,0.48,0.49,0.0,0.0,26.0,2803,0.6806672558593752,False,REGULAR,USD
SPY260331P00465000,2026-03-09 13:39:28+00:00,465.0,0.58,0.5,0.52,0.06999999,13.725489,60.0,811,0.6679720703125002,False,REGULAR,USD
SPY260331P00470000,2026-03-09 13:40:56+00:00,470.0,0.63,0.54,0.55,0.24000001,61.538464,1.0,1180,0.6567417138671876,False,REGULAR,USD
SPY260331P00475000,2026-03-06 20:59:50+00:00,475.0,0.69,0.57,0.59,-0.01999998,-2.8168988,1.0,1425,0.6450230810546875,False,REGULAR,USD
SPY260331P00480000,2026-03-09 13:32:02+00:00,480.0,0.74,0.62,0.64,0.0,0.0,60.0,76652,0.6355016918945313,False,REGULAR,USD
